time,model_name,graph_type,spatial_type,temporal_type,loss_fn,horizon_weight_mode,horizon_weight_gamma,horizon_weights,val_ratio,early_stop_patience,early_stop_min_delta,correlation_topk,correlation_threshold,use_abs_corr,fusion_alpha,predict_steps,history_length,batch_size,learning_rate,weight_decay,optimizer,lr_scheduler,epochs,figure_horizon_step,num_params,peak_gpu_mb,mae,mape,rmse,ckpt_path,fig_path,horizon_metrics_path
2026-04-14 17:10:25,gcn_gru_20260414_170645,connect,gcn,gru,mse,uniform,0.9,"0.333333,0.333333,0.333333",0.1,8,0.0001,,,,,3,12,64,0.001,0.0001,AdamW,plateau,50,0,7578,596.82,21.7572,12.7203,34.3572,results\checkpoints\gcn_gru_20260414_170645_best.pth,results\figures\gcn_gru_20260414_170645_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_20260414_170645.json
2026-04-14 17:20:16,chebnet_gru,connect,chebnet,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7594,596.52,18.1695,10.7697,28.8546,results\checkpoints\chebnet_gru_best.pth,results\figures\chebnet_gru_node0_h1_prediction.png,results\horizon_metrics\chebnet_gru.json
2026-04-14 17:21:39,chebnet_none,connect,chebnet,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,1770,83.01,20.9717,12.8044,33.3282,results\checkpoints\chebnet_none_best.pth,results\figures\chebnet_none_node0_h1_prediction.png,results\horizon_metrics\chebnet_none.json
2026-04-14 17:35:10,gat_gru,connect,gat,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,8,0.001,0.0001,AdamW,plateau,50,0,7834,95.8,20.3167,12.303,32.0399,results\checkpoints\gat_gru_best.pth,results\figures\gat_gru_node0_h1_prediction.png,results\horizon_metrics\gat_gru.json
2026-04-14 17:47:01,gat_none,connect,gat,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,8,0.001,0.0001,AdamW,plateau,50,0,2010,28.46,20.8239,12.564,33.0445,results\checkpoints\gat_none_best.pth,results\figures\gat_none_node0_h1_prediction.png,results\horizon_metrics\gat_none.json
2026-04-14 17:51:14,gcn_gru,connect,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.3677,12.1617,32.214,results\checkpoints\gcn_gru_best.pth,results\figures\gcn_gru_node0_h1_prediction.png,results\horizon_metrics\gcn_gru.json
2026-04-14 17:54:16,gcn_gru_correlation,correlation,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,8,0.35,False,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.3447,12.0059,32.4544,results\checkpoints\gcn_gru_correlation_best.pth,results\figures\gcn_gru_correlation_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_correlation.json
2026-04-14 17:58:00,gcn_gru_distance_correlation,distance_correlation,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,8,0.3,False,0.5,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.1547,11.9478,32.0373,results\checkpoints\gcn_gru_distance_correlation_best.pth,results\figures\gcn_gru_distance_correlation_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_distance_correlation.json
2026-04-14 18:00:35,gcn_none,connect,gcn,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,1738,83.01,20.9508,12.0439,33.7622,results\checkpoints\gcn_none_best.pth,results\figures\gcn_none_node0_h1_prediction.png,results\horizon_metrics\gcn_none.json
2026-04-14 18:29:15,chebnet_gru_s42_20260414_182605,connect,chebnet,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7594,596.52,18.1695,10.7697,28.8546,results\checkpoints\chebnet_gru_s42_20260414_182605_best.pth,results\figures\chebnet_gru_s42_20260414_182605_node0_h1_prediction.png,results\horizon_metrics\chebnet_gru_s42_20260414_182605.json
2026-04-14 18:32:55,chebnet_gru_s2026_20260414_182917,connect,chebnet,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7594,596.52,18.4127,11.348,29.0174,results\checkpoints\chebnet_gru_s2026_20260414_182917_best.pth,results\figures\chebnet_gru_s2026_20260414_182917_node0_h1_prediction.png,results\horizon_metrics\chebnet_gru_s2026_20260414_182917.json
2026-04-14 18:36:14,chebnet_gru_s3407_20260414_183256,connect,chebnet,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7594,596.52,18.0387,10.704,28.6092,results\checkpoints\chebnet_gru_s3407_20260414_183256_best.pth,results\figures\chebnet_gru_s3407_20260414_183256_node0_h1_prediction.png,results\horizon_metrics\chebnet_gru_s3407_20260414_183256.json
2026-04-14 18:37:43,chebnet_none_s42_20260414_183615,connect,chebnet,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,1770,83.01,20.9717,12.8044,33.3282,results\checkpoints\chebnet_none_s42_20260414_183615_best.pth,results\figures\chebnet_none_s42_20260414_183615_node0_h1_prediction.png,results\horizon_metrics\chebnet_none_s42_20260414_183615.json
2026-04-14 18:39:35,chebnet_none_s2026_20260414_183745,connect,chebnet,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,1770,83.01,20.6851,12.1432,33.1359,results\checkpoints\chebnet_none_s2026_20260414_183745_best.pth,results\figures\chebnet_none_s2026_20260414_183745_node0_h1_prediction.png,results\horizon_metrics\chebnet_none_s2026_20260414_183745.json
2026-04-14 18:40:59,chebnet_none_s3407_20260414_183936,connect,chebnet,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,1770,83.01,20.7779,12.1491,33.3165,results\checkpoints\chebnet_none_s3407_20260414_183936_best.pth,results\figures\chebnet_none_s3407_20260414_183936_node0_h1_prediction.png,results\horizon_metrics\chebnet_none_s3407_20260414_183936.json
2026-04-14 18:57:11,gat_gru_s42_20260414_184100,connect,gat,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,8,0.001,0.0001,AdamW,plateau,50,0,7834,95.8,20.3167,12.303,32.0399,results\checkpoints\gat_gru_s42_20260414_184100_best.pth,results\figures\gat_gru_s42_20260414_184100_node0_h1_prediction.png,results\horizon_metrics\gat_gru_s42_20260414_184100.json
2026-04-14 19:14:55,gat_gru_s2026_20260414_185712,connect,gat,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,8,0.001,0.0001,AdamW,plateau,50,0,7834,95.8,20.5612,13.0413,32.0908,results\checkpoints\gat_gru_s2026_20260414_185712_best.pth,results\figures\gat_gru_s2026_20260414_185712_node0_h1_prediction.png,results\horizon_metrics\gat_gru_s2026_20260414_185712.json
2026-04-14 19:27:22,gat_gru_s3407_20260414_191456,connect,gat,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,8,0.001,0.0001,AdamW,plateau,50,0,7834,95.8,20.2879,11.856,32.0943,results\checkpoints\gat_gru_s3407_20260414_191456_best.pth,results\figures\gat_gru_s3407_20260414_191456_node0_h1_prediction.png,results\horizon_metrics\gat_gru_s3407_20260414_191456.json
2026-04-14 19:41:25,gat_none_s42_20260414_192723,connect,gat,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,8,0.001,0.0001,AdamW,plateau,50,0,2010,28.46,20.8239,12.564,33.0445,results\checkpoints\gat_none_s42_20260414_192723_best.pth,results\figures\gat_none_s42_20260414_192723_node0_h1_prediction.png,results\horizon_metrics\gat_none_s42_20260414_192723.json
2026-04-14 19:55:04,gat_none_s2026_20260414_194126,connect,gat,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,8,0.001,0.0001,AdamW,plateau,50,0,2010,28.46,20.8383,12.3362,33.1308,results\checkpoints\gat_none_s2026_20260414_194126_best.pth,results\figures\gat_none_s2026_20260414_194126_node0_h1_prediction.png,results\horizon_metrics\gat_none_s2026_20260414_194126.json
2026-04-14 20:09:00,gat_none_s3407_20260414_195505,connect,gat,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,8,0.001,0.0001,AdamW,plateau,50,0,2010,28.46,21.0493,12.1514,33.4163,results\checkpoints\gat_none_s3407_20260414_195505_best.pth,results\figures\gat_none_s3407_20260414_195505_node0_h1_prediction.png,results\horizon_metrics\gat_none_s3407_20260414_195505.json
2026-04-14 20:13:16,gcn_gru_s42_20260414_200901,connect,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.3677,12.1617,32.214,results\checkpoints\gcn_gru_s42_20260414_200901_best.pth,results\figures\gcn_gru_s42_20260414_200901_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_s42_20260414_200901.json
2026-04-14 20:17:09,gcn_gru_s2026_20260414_201317,connect,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.3408,12.1202,32.3042,results\checkpoints\gcn_gru_s2026_20260414_201317_best.pth,results\figures\gcn_gru_s2026_20260414_201317_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_s2026_20260414_201317.json
2026-04-14 20:20:51,gcn_gru_s3407_20260414_201710,connect,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.3032,11.9639,32.3089,results\checkpoints\gcn_gru_s3407_20260414_201710_best.pth,results\figures\gcn_gru_s3407_20260414_201710_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_s3407_20260414_201710.json
2026-04-14 20:24:22,gcn_gru_correlation_s42_20260414_202052,correlation,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,8,0.35,False,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.3447,12.0059,32.4544,results\checkpoints\gcn_gru_correlation_s42_20260414_202052_best.pth,results\figures\gcn_gru_correlation_s42_20260414_202052_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_correlation_s42_20260414_202052.json
2026-04-14 20:28:30,gcn_gru_correlation_s2026_20260414_202423,correlation,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,8,0.35,False,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.2839,12.1086,32.2678,results\checkpoints\gcn_gru_correlation_s2026_20260414_202423_best.pth,results\figures\gcn_gru_correlation_s2026_20260414_202423_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_correlation_s2026_20260414_202423.json
2026-04-14 20:32:28,gcn_gru_correlation_s3407_20260414_202831,correlation,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,8,0.35,False,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.1971,11.7294,32.2863,results\checkpoints\gcn_gru_correlation_s3407_20260414_202831_best.pth,results\figures\gcn_gru_correlation_s3407_20260414_202831_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_correlation_s3407_20260414_202831.json
2026-04-14 20:36:17,gcn_gru_distance_correlation_s42_20260414_203229,distance_correlation,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,8,0.3,False,0.5,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.1547,11.9478,32.0373,results\checkpoints\gcn_gru_distance_correlation_s42_20260414_203229_best.pth,results\figures\gcn_gru_distance_correlation_s42_20260414_203229_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_distance_correlation_s42_20260414_203229.json
2026-04-14 20:42:00,gcn_gru_distance_correlation_s2026_20260414_203618,distance_correlation,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,8,0.3,False,0.5,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,20.0888,12.0871,31.7145,results\checkpoints\gcn_gru_distance_correlation_s2026_20260414_203618_best.pth,results\figures\gcn_gru_distance_correlation_s2026_20260414_203618_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_distance_correlation_s2026_20260414_203618.json
2026-04-14 20:46:29,gcn_gru_distance_correlation_s3407_20260414_204201,distance_correlation,gcn,gru,mse,uniform,0.9,1.000000,0.1,8,0.0001,8,0.3,False,0.5,1,12,64,0.001,0.0001,AdamW,plateau,50,0,7562,596.52,19.9509,11.6462,31.7274,results\checkpoints\gcn_gru_distance_correlation_s3407_20260414_204201_best.pth,results\figures\gcn_gru_distance_correlation_s3407_20260414_204201_node0_h1_prediction.png,results\horizon_metrics\gcn_gru_distance_correlation_s3407_20260414_204201.json
2026-04-14 20:49:32,gcn_none_s42_20260414_204630,connect,gcn,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,1738,83.01,20.9508,12.0439,33.7622,results\checkpoints\gcn_none_s42_20260414_204630_best.pth,results\figures\gcn_none_s42_20260414_204630_node0_h1_prediction.png,results\horizon_metrics\gcn_none_s42_20260414_204630.json
2026-04-14 20:51:53,gcn_none_s2026_20260414_204933,connect,gcn,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,1738,83.01,20.8858,12.4688,33.434,results\checkpoints\gcn_none_s2026_20260414_204933_best.pth,results\figures\gcn_none_s2026_20260414_204933_node0_h1_prediction.png,results\horizon_metrics\gcn_none_s2026_20260414_204933.json
2026-04-14 20:54:03,gcn_none_s3407_20260414_205154,connect,gcn,none,mse,uniform,0.9,1.000000,0.1,8,0.0001,,,,,1,12,64,0.001,0.0001,AdamW,plateau,50,0,1738,83.01,20.7876,12.1848,33.2838,results\checkpoints\gcn_none_s3407_20260414_205154_best.pth,results\figures\gcn_none_s3407_20260414_205154_node0_h1_prediction.png,results\horizon_metrics\gcn_none_s3407_20260414_205154.json
